"InitiatedBy","SessionName","SessionStartTime","ItemName","ItemSize","SourceName","LogEntryID","LogDetail","LogItemCreationTime","LogItemEndTime","SessionStatus","SessionResult","ProcessedObjects"
"USDEMO\esteve.nobime","Exchange restore (Job: Office 365 Suite to Blob - 7/8/2020 6:11:23 PM)","7/30/2020 10:53:47 AM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","7/30/2020 10:55:34 AM","7/30/2020 10:55:34 AM","Stopped","Success","1"
"USDEMO\andy.perkins","Exchange restore (Entire organization - 7/29/2020 5:33:45 PM)","7/29/2020 5:35:31 PM","Jon Snow shared ""Early Life"" with you.","121441","Arya Stark\Inbox","1","Item Jon Snow shared ""Early Life"" with you. was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","7/29/2020 5:36:24 PM","7/29/2020 5:36:24 PM","Stopped","Success","1"
"USDEMO\esteve.nobime","Exchange restore (Job: Office 365 Suite to Blob - 7/16/2020 6:31:25 PM)","7/28/2020 2:37:11 PM","You have been added to a team in Microsoft Teams","114117","Arya Stark\Archive","1","Item You have been added to a team in Microsoft Teams was opened successfully (type: IPM.Note; source: Arya Stark\Archive; target: Arya Stark\Archive)","7/28/2020 2:39:00 PM","7/28/2020 2:39:00 PM","Stopped","Success","1"
"USDEMO\esteve.nobime","Exchange restore (Entire organization - 7/1/2020 6:25:29 PM)","7/14/2020 11:26:00 AM","Theon mentioned you in House Starks - Teams","126915","Arya Stark\Archive","1","Item Theon mentioned you in House Starks - Teams was opened successfully (type: IPM.Note; source: Arya Stark\Archive; target: Arya Stark\Archive)","7/14/2020 11:26:52 AM","7/14/2020 11:26:52 AM","Stopped","Success","1"
"USDEMO\esteve.nobime","Exchange restore (Job: Office 365 Suite to Blob - 6/18/2020 6:01:24 PM)","7/8/2020 3:24:30 PM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","7/8/2020 3:25:48 PM","7/8/2020 3:25:48 PM","Stopped","Success","1"
"USDEMO\Ben.Miller","Exchange restore (Job: Office 365 Suite to Blob - 7/6/2020 6:20:17 PM)","7/7/2020 4:15:17 PM","Untitled","19731","Arya Stark\Conversation History\Team Chat","1","Item Untitled was opened successfully (type: IPM.SkypeTeams.Message; source: Arya Stark\Conversation History\Team Chat; target: Arya Stark\Conversation History\Team Chat)","7/7/2020 5:09:19 PM","7/7/2020 5:09:19 PM","Stopped","Success","1"
"USDEMO\Peter.Stickle","Exchange restore (Job: Office 365 Suite to Blob - 7/5/2020 6:13:18 PM)","7/6/2020 2:22:24 PM","Welcome to MyAnalytics","303623","Arya Stark\Inbox","1","Item Welcome to MyAnalytics was opened successfully (type: IPM.Note; source: Arya Stark\Inbox; target: Arya Stark\Inbox)","7/6/2020 2:27:20 PM","7/6/2020 2:27:20 PM","Stopped","Success","1"
"USDEMO\joseph.marton","Exchange restore (Job: Office 365 Suite to Blob - 6/30/2020 6:16:22 PM)","7/1/2020 4:22:12 PM","svc-vbr shared ""Biography"" with you.","107232","Jon Snow\Inbox","1","Item svc-vbr shared ""Biography"" with you. was opened successfully (type: IPM.Note; source: Jon Snow\Inbox; target: Jon Snow\Inbox)","7/1/2020 4:22:31 PM","7/1/2020 4:22:31 PM","Stopped","Success","1"
"USDEMO\Joseph.Tucker","Exchange restore (All organizations - 6/29/2020 6:22:03 PM)","6/30/2020 9:59:54 AM","Winter is Coming! ","586826","Theon Greyjoy\Inbox","1","Item Winter is Coming!  was opened successfully (type: IPM.Note; source: Theon Greyjoy\Inbox; target: Theon Greyjoy\Inbox)","6/30/2020 10:01:34 AM","6/30/2020 10:01:34 AM","Stopped","Success","1"
"USDEMO\esteve.nobime","Exchange restore (Entire organization - 6/28/2020 6:11:14 PM)","6/29/2020 2:46:46 PM","The new All Company group is ready","34576","All Company\Inbox","1","Item The new All Company group is ready was opened successfully (type: IPM.Note.GroupMailbox.WarmupEmail; source: All Company\Inbox; target: All Company\Inbox)","6/29/2020 2:47:50 PM","6/29/2020 2:47:50 PM","Stopped","Success","1"
